"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.games.games_project.benchmark.ConverterDTOBenchmark.benchmarkConvertToGameEntity","avgt",1,3,"0,000011","0,000001","ms/op"
"com.games.games_project.benchmark.ConverterDTOBenchmark.benchmarkConvertToReviewEntity","avgt",1,3,"0,000005","0,000003","ms/op"
"com.games.games_project.benchmark.ConverterDTOBenchmark.benchmarkConvertToUserEntity","avgt",1,3,"0,000005","0,000001","ms/op"
"com.games.games_project.benchmark.GameRepositoryBenchmark.benchmarkCountGamesByPlatform","avgt",1,3,"1,230286","3,701187","ms/op"
"com.games.games_project.benchmark.GameRepositoryBenchmark.benchmarkFindAll","avgt",1,3,"1,157912","3,323500","ms/op"
"com.games.games_project.benchmark.GameRepositoryBenchmark.benchmarkFindSuggestions","avgt",1,3,"1,116392","2,568984","ms/op"
"com.games.games_project.benchmark.GameServiceBenchmark.benchmarkFindSuggestion","avgt",1,3,"1,121154","2,979056","ms/op"
"com.games.games_project.benchmark.GameServiceBenchmark.benchmarkFindSuggestionEmpty","avgt",1,3,"0,000000","0,000001","ms/op"
"com.games.games_project.benchmark.GameServiceBenchmark.benchmarkGetGameCountByPlatform","avgt",1,3,"1,154176","3,506918","ms/op"
"com.games.games_project.benchmark.GameServiceBenchmark.benchmarkGetGameDetailsById","avgt",1,3,"3,057720","7,525406","ms/op"
"com.games.games_project.benchmark.GameServiceBenchmark.benchmarkGetGamesPaginated","avgt",1,3,"1,963237","1,546272","ms/op"
"com.games.games_project.benchmark.RatingComparatorBenchmark.benchmarkCompareCommonRatings","avgt",1,3,"0,000005","0,000000","ms/op"
"com.games.games_project.benchmark.RatingComparatorBenchmark.benchmarkCompareUnrecognizedRatings","avgt",1,3,"0,000002","0,000004","ms/op"
"com.games.games_project.benchmark.RatingComparatorBenchmark.benchmarkSortRatings","avgt",1,3,"0,000033","0,000001","ms/op"
"com.games.games_project.benchmark.ReviewRepositoryBenchmark.benchmarkCountReviewsPerMonth","avgt",1,3,"1,134220","3,758622","ms/op"
"com.games.games_project.benchmark.ReviewRepositoryBenchmark.benchmarkDeleteByAuthor","avgt",1,3,"0,845192","3,952154","ms/op"
"com.games.games_project.benchmark.ReviewRepositoryBenchmark.benchmarkFindByAuthor","avgt",1,3,"1,068256","3,287708","ms/op"
"com.games.games_project.benchmark.ReviewRepositoryBenchmark.benchmarkFindByGameId","avgt",1,3,"1,061564","3,285836","ms/op"
"com.games.games_project.benchmark.ReviewRepositoryBenchmark.benchmarkFindByGameIdAndAuthor","avgt",1,3,"1,100885","3,324369","ms/op"
"com.games.games_project.benchmark.ReviewServiceBenchmark.benchmarkAddReview","avgt",1,3,"2,911920","15,151597","ms/op"
"com.games.games_project.benchmark.ReviewServiceBenchmark.benchmarkDeleteReview","avgt",1,3,"2,820356","11,223166","ms/op"
"com.games.games_project.benchmark.ReviewServiceBenchmark.benchmarkGetGameReviewByAuthor","avgt",1,3,"1,144752","3,844718","ms/op"
"com.games.games_project.benchmark.ReviewServiceBenchmark.benchmarkGetMonthlyReviewCount","avgt",1,3,"1,156640","3,568487","ms/op"
"com.games.games_project.benchmark.ReviewServiceBenchmark.benchmarkGetReviewsByGameId","avgt",1,3,"1,863690","8,497049","ms/op"
"com.games.games_project.benchmark.ReviewServiceBenchmark.benchmarkGetReviewsByUsername","avgt",1,3,"1,493484","4,831470","ms/op"
"com.games.games_project.benchmark.ReviewServiceBenchmark.benchmarkModifyReview","avgt",1,3,"2,796176","10,683663","ms/op"
"com.games.games_project.benchmark.UserRepositoryBenchmark.benchmarkCountUsersByGender","avgt",1,3,"1,152201","3,299867","ms/op"
"com.games.games_project.benchmark.UserRepositoryBenchmark.benchmarkDeleteByUsername","avgt",1,3,"1,048909","3,219895","ms/op"
"com.games.games_project.benchmark.UserRepositoryBenchmark.benchmarkFindByEmailAndUsername","avgt",1,3,"1,076847","3,458804","ms/op"
"com.games.games_project.benchmark.UserRepositoryBenchmark.benchmarkFindByUsername","avgt",1,3,"1,056719","3,288498","ms/op"
"com.games.games_project.benchmark.UserServiceBenchmark.benchmarkGetUserCountByGender","avgt",1,3,"1,196310","2,500014","ms/op"
"com.games.games_project.benchmark.UserServiceBenchmark.benchmarkGetUserInfo","avgt",1,3,"1,092362","3,443056","ms/op"
"com.games.games_project.benchmark.UserServiceBenchmark.benchmarkLoginFail","avgt",1,3,"1,061276","3,310791","ms/op"
"com.games.games_project.benchmark.UserServiceBenchmark.benchmarkLoginSuccess","avgt",1,3,"62,447659","0,270105","ms/op"
"com.games.games_project.benchmark.UserServiceBenchmark.benchmarkRegisterDuplicate","avgt",1,3,"1,150412","3,494674","ms/op"
"com.games.games_project.benchmark.UserServiceBenchmark.benchmarkRegisterSuccess","avgt",1,3,"62,529576","0,539471","ms/op"
"com.games.games_project.benchmark.UserServiceBenchmark.benchmarkUpdateUser","avgt",1,3,"62,436269","0,580149","ms/op"
